timestamp,session_type,unique_items,total_reads,duration_sec,scans_per_minute,performance_score
2025-10-27T06:56:06.853343+00:00,scan_only,244,6379,12.01,31872.45,52
2025-10-27T06:58:30.718695+00:00,scan_only,243,6157,9.96,37098.92,52
2025-10-27T06:58:59.450993+00:00,scan_only,243,1392,3.63,23024.81,52
2025-10-27T07:16:10.878915+00:00,scan_only,244,1285,3.38,22785.75,53
2025-10-27T07:17:53.669382+00:00,scan_only,240,3358,6.91,29171.05,53
2025-10-27T07:23:44.961699+00:00,scan_only,239,961,2.84,20307.49,54
2025-10-27T07:27:14.799992+00:00,scan_only,233,442,2.17,12222.46,54
2025-10-27T07:28:42.421009+00:00,check_in,240,10755,17.8,36252.14,54
2025-10-27T07:52:54.094019+00:00,scan_only,239,1334,2.19,36610.74,54
2025-10-27T07:53:16.129258+00:00,scan_only,238,1071,1.75,36670.22,53
2025-10-27T07:59:32.222307+00:00,scan_only,250,112768,192.08,35224.62,45
2025-10-27T08:03:06.432295+00:00,scan_only,248,9137,16.54,33136.28,52
2025-10-27T08:03:20.234039+00:00,scan_only,248,4245,8.22,30981.12,49
2025-10-27T08:07:26.320454+00:00,scan_only,249,2104,4.87,25903.94,45
